,Stock Symbol,Last Adj Close,Last Forecasted Price,RMSE Smoothed,MSE Smoothed,MAE Smoothed,Forecasted Difference,Returns,Return %,Risk
0,AAPL,177.4228515625,170.05747678884995,11.704633749872302,136.99845121864973,9.601136258921976,8.729863619033495,-7.365374773650046,-4.151311236847908,0.017640205977478052
1,AMGN,197.5846405029297,203.4684766952123,20.704719790454043,428.68542160121933,19.070735133740026,-38.7665395568778,5.883836192282615,2.9778813663379733,0.016075379230722407
2,AXP,162.48817443847656,162.02400428271403,17.43981214339275,304.1470475968292,14.39362628548388,-11.851868158310225,-0.46417015576253107,-0.2856639613107853,0.018769762027863793
3,BA,205.0599975585937,200.35220066100374,16.766834727670865,281.12674678502975,14.218887874396883,19.239724628065318,-4.707796897589958,-2.295814373178638,0.02445021895417903
4,CAT,194.79933166503903,194.45059371260413,14.189622573934809,201.34538879072034,11.908133178937849,-26.187996073759308,-0.34873795243490235,-0.1790242037557724,0.017869564184983165
5,CRM,266.0299987792969,242.97324017008987,25.26942573421223,638.5438769368673,21.829464841357368,49.574011051053816,-23.05675860920701,-8.66697692553662,0.021053112277383743
6,CSCO,55.73828887939453,50.718393597856334,4.654072201340029,21.660388055286024,3.2763966139693137,2.768888585351874,-5.019895281538197,-9.006188353575318,0.015700563917548187
7,CVX,109.9070281982422,89.29340426294334,50.953184297276444,2596.226990032219,47.39920698978861,-71.43917367830674,-20.61362393529886,-18.75551024645806,0.01839204874496926
8,GS,369.3032531738281,359.1535108812068,37.51817041932546,1407.613111613548,32.91343438074158,47.19464971017925,-10.14974229262134,-2.7483490073248658,0.01768783164569851
9,HD,394.2351989746094,353.6975512907475,50.60780526756379,2561.149953999657,45.588089649593975,60.994347330928576,-40.53764768386185,-10.282604848399817,0.01449482643773765
10,HON,201.1171722412109,204.48089841211845,21.429614996437518,459.2283988955397,18.927595804221145,17.333093252172915,3.3637261709075403,1.672520617420594,0.014182315811423353
11,IBM,112.63267517089844,114.18056639060252,6.437013109216036,41.43513776821909,5.313044551791222,-1.9147088924269298,1.5478912197040842,1.3742825670751908,0.014964298360900194
12,JNJ,156.50416564941406,152.9437396751782,12.624559084914317,159.3794920884926,11.725028354996814,-19.026233935958857,-3.5604259742358693,-2.2749720171740355,0.011351679097191501
13,JPM,150.4453887939453,149.53801890014597,16.17868923894167,261.7499854902469,13.25175458375635,28.925039931504756,-0.9073698937993413,-0.603122436036975,0.016971371341896878
14,KO,52.9909553527832,50.649544831990966,9.848572107269344,96.99437255208373,9.719641225732763,-11.870753834008859,-2.3414105207922375,-4.418509734735819,0.011336937935013398
15,MCD,253.42803955078125,242.94673889219754,14.259624925919908,203.33690302791635,11.465306282645164,0.9530378447070973,-10.481300658583706,-4.135809390769284,0.012815224033398756
16,MMM,160.21072387695312,153.07539068931194,13.893430314967276,193.0274059168517,11.384190732110165,18.305173699286144,-7.13533318764118,-4.453717588294115,0.013700238424895346
17,MRK,68.2909164428711,70.58269662422924,5.065325691085482,25.657524356770615,3.806046010163508,-12.108155151446255,2.291780181358149,3.3559077850058467,0.013557146247462949
18,MSFT,336.37750244140625,326.3990348435036,29.30167428236154,858.5881157496076,25.73295131576443,48.65150067678104,-9.978467597902636,-2.966449160683922,0.016384929930275478
19,NKE,165.6844024658203,148.1344110277622,25.614724600030197,656.114116335392,22.77335124941406,22.316154812095505,-17.5499914380581,-10.592422205631912,0.016622615954259175
20,PG,147.93853759765625,145.76229210998167,11.045866159520543,122.01115921404111,9.121744282701078,-5.050200009428664,-2.176245487674578,-1.4710470463032719,0.011288408593630757
21,TRV,148.44252014160156,134.66844669851022,32.4929833989635,1055.793970165318,31.027383684643286,-43.83751280645251,-13.77407344309134,-9.27906197628014,0.014521055054198534
22,UNH,466.7664184570313,424.59331940066573,68.97913962447836,4758.1217033332805,66.11331783135545,-92.05089523202781,-42.17309905636557,-9.03516135453259,0.016202393908708684
23,V,210.1292266845703,216.53758079601675,9.711362423425904,94.31056011912864,7.4353621380579975,6.905776639244863,6.408354111446442,3.049720504166784,0.015524755492254478
24,VZ,44.32926177978516,44.81657565591661,2.021593643352517,4.086840858843303,1.7679785452821206,-3.534746427619801,0.48731387613144506,1.099305191573634,0.011044423326325931
25,WBA,44.13615036010742,45.636577515388815,2.964793396296481,8.789999882723224,2.567135922293324,4.179723828051976,1.5004271552813933,3.39954242279716,0.01839757564490219
26,WMT,137.26934814453125,130.08958382043193,9.612428987108672,92.39879103220704,7.385226603740992,-23.223138911326686,-7.179764324099324,-5.230420644629078,0.012693976470858565
